;Title;Address
28;"""Nie możemy potwierdzić"". Pentagon o zatopieniu rosyjskiej fregaty";https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-nie-mozemy-potwierdzic-pentagon-o-zatopieniu-rosyjskiej-freg,nId,6007553
29;Media: Prezydent USA zatwierdzi kolejny pakiet pomocy wojskowej dla Ukrainy;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-media-prezydent-usa-zatwierdzi-kolejny-pakiet-pomocy-wojskow,nId,6007524
30;Sztab generalny: Siły ukraińskie wyzwoliły pięć miejscowości w obwodzie charkowskim;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-sztab-generalny-sily-ukrainskie-wyzwolily-piec-miejscowosci-,nId,6007502
31;Siewierodonieck: Mimo rosyjskiego ataku mieszkańcy nie chcą opuszczać domów;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-siewierodonieck-mimo-rosyjskiego-ataku-mieszkancy-nie-chca-o,nId,6007501
32;Belgijska gazeta: Nie wszyscy światowi liderzy uważają Putina za złoczyńcę;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-belgijska-gazeta-nie-wszyscy-swiatowi-liderzy-uwazaja-putina,nId,6007482
33;Kuba: Wybuch w hotelu w Hawanie. Zginęło co najmniej osiem osób;https://wydarzenia.interia.pl/zagranica/news-kuba-wybuch-w-hotelu-w-hawanie-zginelo-co-najmniej-osiem-oso,nId,6007468
34;"Premier Ukrainy dziękuje Mateuszowi Morawieckiemu za akcję ""Stop Russia Now!""";https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-premier-ukrainy-dziekuje-mateuszowi-morawieckiemu-za-akcje-s,nId,6007467
35;Matura 2022: Język niemiecki podstawowy. Arkusz CKE i odpowiedzi ;https://wydarzenia.interia.pl/raporty/raport-matura-2022/arkusze/news-matura-2022-jezyk-niemiecki-podstawowy-arkusz-cke-i-odpowied,nId,6006645
36;Były wiceprezes Gazprombanku: Śmierć rosyjskich menadżerów to nie były samobójstwa;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-byly-wiceprezes-gazprombanku-smierc-rosyjskich-menadzerow-to,nId,6007453
37;Kalisz: Pies odgryzł ucho kobiecie, która odpracowywała karę w schronisku dla zwierząt;https://wydarzenia.interia.pl/wielkopolskie/news-kalisz-pies-odgryzl-ucho-kobiecie-ktora-odpracowywala-kare-w,nId,6007298
38;Były szef Pentagonu: Trump chciał zbombardować kartele w Meksyku;https://wydarzenia.interia.pl/zagranica/news-byly-szef-pentagonu-trump-chcial-zbombardowac-kartele-w-meks,nId,6007302
39;"""Oni są nienormalni"". Ukraińskie służby przechwyciły rozmowę rosyjskiego żołnierza";https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-oni-sa-nienormalni-ukrainskie-sluzby-przechwycily-rozmowe-ro,nId,6007289
40;Opole: Poseł Janusz Kowalski domaga się zmian w zarządzie i Radzie Nadzorczej Wodociągów i Kanalizacji;https://wydarzenia.interia.pl/opolskie/news-opole-posel-janusz-kowalski-domaga-sie-zmian-w-zarzadzie-i-r,nId,6007249
41;Ciechanów pomaga Ukrainie. Blisko 90 tys. zł na zakup dronów i noktowizorów;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-ciechanow-pomaga-ukrainie-blisko-90-tys-zl-na-zakup-dronow-i,nId,6007256
42;Ukraina: Służby wykryły 4 tys. kolaborantów, zlikwidowano 140 grup dywersyjnych;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-ukraina-sluzby-wykryly-4-tys-kolaborantow-zlikwidowano-140-g,nId,6007230
43;Miał doprowadzić do śmierci 12 podopiecznych. Rozpoczął się proces fałszywego księdza;https://wydarzenia.interia.pl/kraj/news-mial-doprowadzic-do-smierci-12-podopiecznych-rozpoczal-sie-p,nId,6007181
44;Bielsko-Biała: Zaatakował nożem 12-latkę, usłyszy zarzut usiłowania zabójstwa;https://wydarzenia.interia.pl/slaskie/news-bielsko-biala-zaatakowal-nozem-12-latke-uslyszy-zarzut-usilo,nId,6007211
45;Były minister zdrowia Łukasz Szumowski ma nowe stanowisko;https://wydarzenia.interia.pl/kraj/news-byly-minister-zdrowia-lukasz-szumowski-ma-nowe-stanowisko,nId,6007198
46;Bohaterski czyn 15-latki. Mimo ran uratowała życie czterech osób ;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-bohaterski-czyn-15-latki-mimo-ran-uratowala-zycie-czterech-o,nId,6007197
47;"""Podchwytliwe momenty"" na maturze z angielskiego. Nauczycielki komentują";https://wydarzenia.interia.pl/autor/magdalena-raducha/news-podchwytliwe-momenty-na-maturze-z-angielskiego-nauczycielki-,nId,6007188
48;Sofia Sapiega skazana na sześć lat kolonii karnej;https://wydarzenia.interia.pl/zagranica/news-sofia-sapiega-skazana-na-szesc-lat-kolonii-karnej,nId,6007142
49;Kanclerz Niemiec Olaf Scholz o rosyjskiej inwazji w Ukrainie: Największa katastrofa naszych czasów;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-kanclerz-niemiec-olaf-scholz-o-rosyjskiej-inwazji-w-ukrainie,nId,6007168
50;Grozev: Jeśli Putin wyda rozkaz ataku nuklearnego, generałowie go zignorują;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-grozev-jesli-putin-wyda-rozkaz-ataku-nuklearnego-generalowie,nId,6007166
51;Kraków: Miasto zapłaci klasztorowi za parking dla radnych, choć przed urzędem są wolne miejsca;https://wydarzenia.interia.pl/malopolskie/news-krakow-miasto-zaplaci-klasztorowi-za-parking-dla-radnych-cho,nId,6007157
52;Potężny pożar w prorosyjskiej Osetii Południowej. Czarna seria to sabotaże?;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-potezny-pozar-w-prorosyjskiej-osetii-poludniowej-czarna-seri,nId,6007146
53;Ukraina: Strach przed lotami i duże straty po stronie rosyjskich pilotów ;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-ukraina-strach-przed-lotami-i-duze-straty-po-stronie-rosyjsk,nId,6007144
54;Premier: Kredyt hipoteczny miał być szansą na nowy dom, a nie kulą u nogi;https://wydarzenia.interia.pl/kraj/news-premier-kredyt-hipoteczny-mial-byc-szansa-na-nowy-dom-a-nie-,nId,6007116
55;Częstochowa. Motocyklista - pielgrzym dwukrotnie zatrzymany przez policję;https://wydarzenia.interia.pl/slaskie/news-czestochowa-motocyklista-pielgrzym-dwukrotnie-zatrzymany-prz,nId,6007090
56;"Dmitrij Miedwiediew pisze o ""wysterylizowanym europejskim stadzie"". Chwali tylko Orbana";https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-dmitrij-miedwiediew-pisze-o-wysterylizowanym-europejskim-sta,nId,6007099
57;Tragedia na Podkarpaciu. Audi przejechało leżącego na drodze 61-latka;https://wydarzenia.interia.pl/podkarpackie/news-tragedia-na-podkarpaciu-audi-przejechalo-lezacego-na-drodze-,nId,6007096
58;Matura 2022: Język niemiecki poziom podstawowy. U nas arkusz CKE i odpowiedzi ;https://wydarzenia.interia.pl/raporty/raport-matura-2022/aktualnosci/news-matura-2022-jezyk-niemiecki-poziom-podstawowy-u-nas-arkusz-c,nId,6006597
59;Pożar w szkolnym autobusie. Dzieci jechały do szkoły w Rytlu ;https://wydarzenia.interia.pl/pomorskie/news-pozar-w-szkolnym-autobusie-dzieci-jechaly-do-szkoly-w-rytlu,nId,6007073
60;Zamieszanie wokół Glapińskiego. Brejza chce ujawnienia opinii dla prezydenta;https://wydarzenia.interia.pl/kraj/news-zamieszanie-wokol-glapinskiego-brejza-chce-ujawnienia-opinii,nId,6007039
61;Amerykański niszczyciel przybił do portu w Gdyni ;https://wydarzenia.interia.pl/pomorskie/news-amerykanski-niszczyciel-przybil-do-portu-w-gdyni,nId,6007022
62;Polska kupuje uzbrojone drony Gladius. Mariusz Błaszczak zatwierdził umowę;https://wydarzenia.interia.pl/kraj/news-polska-kupuje-uzbrojone-drony-gladius-mariusz-blaszczak-zatw,nId,6007020
63;Nie żyje pierwsza żołnierka armii Putina. 27-letnia Walentina zginęła w Mariupolu;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-nie-zyje-pierwsza-zolnierka-armii-putina-27-letnia-walentina,nId,6007011
64;Matura 2022: Język angielski. Zobacz odpowiedzi i arkusz CKE;https://wydarzenia.interia.pl/raporty/raport-matura-2022/arkusze/news-matura-2022-jezyk-angielski-zobacz-odpowiedzi-i-arkusz-cke,nId,6006964
65;Poznań: Dziewczynka postrzelona na boisku szkolnym. Policja apeluje o pomoc;https://wydarzenia.interia.pl/wielkopolskie/news-poznan-dziewczynka-postrzelona-na-boisku-szkolnym-policja-ap,nId,6006966
66;Matura 2022: Język angielski. Doszło do przecieku? CKE zawiadamia prokuraturę ;https://wydarzenia.interia.pl/raporty/raport-matura-2022/aktualnosci/news-matura-2022-jezyk-angielski-doszlo-do-przecieku-cke-zawiadam,nId,6006976
67;Wielka Brytania: Konserwatyści tracą londyński bastion po 58 latach;https://wydarzenia.interia.pl/zagranica/news-wielka-brytania-konserwatysci-traca-londynski-bastion-po-58-,nId,6006932
68;Zaminowana Ukraina. Praca saperów potrwa dwa-trzy lata;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-zaminowana-ukraina-praca-saperow-potrwa-dwa-trzy-lata,nId,6006700
69;"Nieoficjalnie: Rosyjski okręt ""Admirał Makarow"" płonie w pobliżu Wyspy Węży";https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-nieoficjalnie-rosyjski-okret-admiral-makarow-plonie-w-pobliz,nId,6006945
70;Niemcy obiecują Ukrainie haubicoarmaty. Andrij Melnyk: Czołgów wciąż nie ma ;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-niemcy-obiecuja-ukrainie-haubicoarmaty-andrij-melnyk-czolgow,nId,6006942
71;Rosjanie stracili blisko 25 tys. żołnierzy na Ukrainie. Nowe dane;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-rosjanie-stracili-blisko-25-tys-zolnierzy-na-ukrainie-nowe-d,nId,6006939
72;"""Byłam zdziwiona, że nie było maila"". Co jeszcze zaskoczyło na maturze z angielskiego?";https://wydarzenia.interia.pl/autor/magdalena-raducha/news-bylam-zdziwiona-ze-nie-bylo-maila-co-jeszcze-zaskoczylo-na-m,nId,6006930
73;"Rosyjska prokuratura: Krążownik ""Moskwa"" nie wpływał na ukraińskie wody";https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-rosyjska-prokuratura-krazownik-moskwa-nie-wplywal-na-ukrains,nId,6006698
74;Atak Chin na Tajwan? Pentagon wskazuje możliwą datę;https://wydarzenia.interia.pl/zagranica/news-atak-chin-na-tajwan-pentagon-wskazuje-mozliwa-date,nId,6006915
75;Adam Niedzielski wbija szpilę unijnej komisarz zdrowia;https://wydarzenia.interia.pl/kraj/news-adam-niedzielski-wbija-szpile-unijnej-komisarz-zdrowia,nId,6006709
76;Fałszywe informacje o polskich żołnierzach w Ukrainie. Rozpowszechnia je RIA Novosti;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-falszywe-informacje-o-polskich-zolnierzach-w-ukrainie-rozpow,nId,6006602
77;Rosjanie utworzyli obozy filtracyjne. Denisowa: To tak naprawdę obozy koncentracyjne;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-rosjanie-utworzyli-obozy-filtracyjne-denisowa-to-tak-naprawd,nId,6006679
78;Straż Granicza: Migranci i Białorusini zaatakowali petardami, kamieniami i konarami drzew;https://wydarzenia.interia.pl/kraj/news-straz-granicza-migranci-i-bialorusini-zaatakowali-petardami-,nId,6006604
79;Ursula von der Leyen: Musimy uwolnić się od rosyjskiego gazu;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-ursula-von-der-leyen-musimy-uwolnic-sie-od-rosyjskiego-gazu,nId,6006630
80;Koniec stanu epidemii w Polsce. Konferencja Adama Niedzielskiego;https://wydarzenia.interia.pl/raporty/raport-koronawirus-chiny/polska/news-koniec-stanu-epidemii-w-polsce-konferencja-adama-niedzielski,nId,6006572
81;Krystyna Pawłowicz: Chciałabym, żeby cała Unia zniknęła z powierzchni;https://wydarzenia.interia.pl/kraj/news-krystyna-pawlowicz-chcialabym-zeby-cala-unia-zniknela-z-powi,nId,6006622
82;"12-latka raniona nożem w stabilnym stanie. ""Operacja ratująca życie""";https://wydarzenia.interia.pl/slaskie/news-12-latka-raniona-nozem-w-stabilnym-stanie-operacja-ratujaca-,nId,6006629
83;Obudziła się na własnym pogrzebie i zapukała w trumnę. Jest nagranie z szokującej uroczystości;https://wydarzenia.interia.pl/zagranica/news-obudzila-sie-na-wlasnym-pogrzebie-i-zapukala-w-trumne-jest-n,nId,6006614
84;"Ewakuacja Mariupola. W tle ""rosnące straty"" Rosjan";https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-ewakuacja-mariupola-w-tle-rosnace-straty-rosjan,nId,6006599
85;"""Wojna? Nie chcemy zniknąć"". Kazachstan dmucha na zimne";https://wydarzenia.interia.pl/autor/wiktor-kazanecki/news-wojna-nie-chcemy-zniknac-kazachstan-dmucha-na-zimne,nId,6005148
86;Kadyrow pochwalił się nowymi rekrutami. Wytknięto mu jednak, że kłamie ;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-kadyrow-pochwalil-sie-nowymi-rekrutami-wytknieto-mu-jednak-z,nId,6006567
87;Węgry nie poprą nowych sankcji. Orban porównał je do bomby atomowej;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-wegry-nie-popra-nowych-sankcji-orban-porownal-je-do-bomby-at,nId,6006565
88;Matura 2022: Wystartował egzamin z języka angielskiego. Arkusze CKE i odpowiedzi w Interii;https://wydarzenia.interia.pl/raporty/raport-matura-2022/aktualnosci/news-matura-2022-wystartowal-egzamin-z-jezyka-angielskiego-arkusz,nId,6004764
89;Emil Czeczko pochowany. Spoczął na polskim wojskowym cmentarzu;https://wydarzenia.interia.pl/zagranica/news-emil-czeczko-pochowany-spoczal-na-polskim-wojskowym-cmentarz,nId,6006541
90;"Pozew rosyjskich żołnierzy. ""Publiczne splunięcie Putinowi w twarz""";https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-publiczne-spluniecie-putinowi-w-twarz-zolnierze-pozywaja-za-,nId,6006546
91;Sondaż: Większość Polaków za udziałem polskich żołnierzy w misji pokojowej w Ukrainie;https://wydarzenia.interia.pl/raporty/raport-ukraina-rosja/aktualnosci/news-sondaz-wiekszosc-polakow-za-udzialem-polskich-zolnierzy-w-mi,nId,6006535
